# EOS 2000D hot pixels: per-pixel MIN of 235 x 10s ISO1600 JPEGs (IMG_9347-9581, night3 2026-07-12), threshold median+15
# x,y,min_value (6000x4000 frame; JPEG demosaic spreads each hot photosite over ~2-3 px)
x,y,value
1917,961,134
3796,1037,134
4808,2243,134
1886,534,134
4043,2923,134
5144,1477,134
1220,67,134
3421,3877,134
5144,1475,133
4529,489,133
5354,2772,133
5603,2275,133
2850,153,133
4809,2245,133
5601,2275,133
202,2563,133
4451,3652,133
1878,1313,133
3421,3875,133
1565,2622,133
5430,1928,133
4339,3263,132
1917,963,132
3797,1035,132
4941,2535,132
511,2599,132
4449,3651,132
1607,1169,132
1692,928,132
5537,2621,132
1377,1701,132
5169,2803,132
1565,2624,132
5167,2803,132
127,3441,132
129,3441,132
1605,1169,132
3896,1531,132
2850,155,132
1951,3256,132
5185,3819,132
4529,487,132
1690,928,131
2202,3450,131
4303,1877,131
1218,66,131
1220,66,131
1985,819,131
4303,1879,131
4338,3265,131
1985,817,131
4043,2925,131
5185,3821,131
5900,49,131
2423,1759,131
1952,3254,131
3897,1529,131
450,877,130
4809,2243,130
2423,1757,130
5786,866,130
4083,1651,130
202,2565,130
3797,1037,130
2203,3452,130
5901,47,130
5537,2619,130
1952,3256,129
3897,1531,129
1941,881,129
1879,1311,129
2589,511,129
2588,513,129
1878,1311,129
5145,1477,129
5183,3819,129
2272,627,129
3895,1529,128
2589,513,128
203,2563,128
1941,883,128
4083,1653,128
2272,625,128
4301,1879,128
203,2565,128
4339,3265,128
4337,3265,128
2585,2174,128
5145,1475,128
511,2601,128
5110,3304,128
2202,3452,128
1379,1702,128
4578,2740,127
4576,2740,127
2274,627,127
3895,1531,127
5108,3304,127
1563,2624,127
3419,3875,127
2421,1759,127
2587,2174,127
5535,2619,127
3419,3877,127
1748,3512,127
4337,3263,127
4807,2243,127
4041,2923,127
1877,1313,126
1750,3512,126
5901,49,126
4449,3653,126
452,877,126
5183,3821,126
1879,1313,126
2274,625,125
4041,2925,125
5535,2621,125
1563,2622,125
5143,1475,125
2585,2172,125
450,879,125
1379,1700,125
4340,2635,125
4301,1877,125
2587,2172,125
509,2601,124
3795,1035,124
1877,1311,124
4807,2245,124
1564,2624,124
1262,908,124
3795,1037,123
1260,908,123
201,2563,123
2421,1757,123
4946,2535,123
4447,3651,123
5143,1477,123
2587,511,123
5899,47,122
2586,2174,122
201,2565,122
452,879,122
1995,3262,122
1996,3262,121
2586,2172,121
4665,2879,121
2587,513,121
4360,3360,121
4362,3360,121
4667,2879,121
1564,2622,120
509,2599,120
1909,3028,120
1234,3538,120
1236,3538,120
5899,49,120
1995,3264,119
4759,2852,119
3764,2332,119
3341,2216,119
4069,1044,119
817,3354,119
3341,2218,118
1951,3255,118
3342,2216,118
3763,2330,118
4759,2850,118
2798,1010,118
818,3354,118
1887,535,118
4530,488,118
2287,18,118
2201,3451,118
2203,3451,118
818,3356,118
2288,2036,117
4528,488,117
4760,2850,117
1885,535,117
1909,3030,117
4760,2852,117
1910,3028,117
4070,1046,117
4070,1044,117
817,3356,117
2797,1010,117
4084,1652,117
3342,2218,116
1953,3255,116
3763,2332,116
4069,1046,116
4082,1652,116
1996,3264,116
2288,18,116
1910,3030,116
3764,2330,116
5788,865,116
1916,962,116
1918,962,116
2798,1012,116
2287,16,115
2287,2036,115
1986,818,115
359,1654,115
2797,1012,115
294,1714,115
